"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"FOOTPRINT_VARIANT_NAME_0";"FT_MIN_MHZ";"IC_CONTINUOUS_A";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MF";"MOUNTING_TECHNOLOGY";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PACKING";"POLARITY";"PREFIX";"PRICE";"PROD_ID";"RELEASE_DATE";"ROHS";"SPICEPREFIX";"SUPPLIER";"VALUE";"VAULT_GUID";"VAULT_REVISION";
"2";"0.1uF";"C-EUC0603";"C0603";"C4, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"2";"0ohms";"10-XX";"B3F-10XX";"BUT_PROG, BUT_RESET";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"100R";"10KOHM-0603-1/10W-1%";"0603";"R8, R9, R23, R25, R27, R29";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"2";"100k";"10KOHM-0603-1/10W-1%";"0603";"R2, R10";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"1";"10118193-0001LF";"10118193-0001LF";"FCI_10118193-0001LF";"J2";"Micro USB B Type Receptacle";"Unavailable";"";"";"";"";"";"";"";" Single Port 5 Contact Shielded SMT MICRO USB B-Type Receptacle ";"";"";"";"";"";"";"Amphenol FCI";"";"10118193-0001LF";"";"";"";"None";"";"";"";"";"";"None";"";"";"";"";"";"";"";"";
"4";"10k";"10KOHM-0603-1/10W-1%";"0603";"R1, R7, R11, R12";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"1";"12mhz";"XTAL/S";"QS";"Q1";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"1k";"10KOHM-0603-1/10W-1%";"0603";"R5, R6, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"1";"1uF";"C-EUC0603";"C0603";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"4";"200R";"10KOHM-0603-1/10W-1%";"0603";"R24, R26, R28, R30";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
